threshold,n_ACT,n_DEFER,n_WAIT,act_rate,defer_rate,false_alert_est
1.1,4,258,632,0.004,0.289,0.75
1.2,4,258,632,0.004,0.289,0.75
1.3,4,258,632,0.004,0.289,0.75
1.4,4,258,632,0.004,0.289,0.75
1.5,4,258,632,0.004,0.289,0.75
1.6,4,258,632,0.004,0.289,0.75
1.7,4,258,632,0.004,0.289,0.75
1.8,4,258,632,0.004,0.289,0.75
1.9,4,258,632,0.004,0.289,0.75
2.0,4,258,632,0.004,0.289,0.75
2.1,4,258,632,0.004,0.289,0.75
2.2,4,258,632,0.004,0.289,0.75
2.3,4,258,632,0.004,0.289,0.75
2.4,4,258,632,0.004,0.289,0.75
2.5,4,258,632,0.004,0.289,0.75
